project_id,project_name,department,status,start_date,end_date,budget,actual_cost,project_manager_id,priority,region
PRJ0218,Sentiment Analysis Engine #218,Engineering,In Progress,2022-03-15,,200000,147540,EMP0570,Low,Dubai
PRJ0219,API Gateway Modernisation Phase 2 #219,Legal,In Progress,2025-01-03,,50000,57456,EMP0883,High,Abu Dhabi
PRJ0220,Asset Tracking System Phase 2 #220,Operations,Completed,2023-06-09,2024-01-26,200000,159246,EMP0290,Medium,Dubai
PRJ0221,Crisis Response System - Q1 #221,Marketing,On Hold,2024-02-20,,150000,23317,EMP0052,Medium,Abu Dhabi
PRJ0222,Fleet Management System Phase 3 #222,Procurement,Completed,2023-09-14,2024-05-15,1200000,759144,EMP0737,Medium,Sharjah
PRJ0223,Knowledge Management Portal #223,Finance,In Progress,2023-01-06,,500000,361905,EMP0850,Medium,Abu Dhabi
PRJ0224,Risk Assessment Framework - Q2 #224,Digital,Completed,2023-08-08,2024-11-17,200000,129320,EMP0118,Critical,Sharjah
PRJ0225,Master Data Management #225,Finance,On Hold,2024-01-26,,150000,19375,EMP0416,Medium,Abu Dhabi
PRJ0226,Performance Analytics #226,Finance,Completed,2022-02-15,2022-09-15,50000,56955,EMP0345,Low,Dubai
PRJ0227,Fleet Management System #227,Digital,In Progress,2022-08-19,,80000,82790,EMP0526,Critical,Dubai
PRJ0228,MLOps Platform Phase 3 #228,Engineering,Completed,2024-09-09,2024-12-10,120000,87514,EMP0445,High,Abu Dhabi
PRJ0229,Document Management System - Q4 #229,Legal,In Progress,2022-01-28,,50000,49698,EMP0919,Critical,Dubai
PRJ0230,Recommendation System Phase 2 #230,Finance,In Progress,2023-07-11,,200000,148178,EMP0513,High,Ajman
PRJ0231,HR System Upgrade - Q4 #231,Operations,Completed,2022-04-07,2022-10-30,500000,326524,EMP0416,Medium,Dubai
PRJ0232,Cloud Migration Phase 1 Phase 3 #232,Procurement,Completed,2022-10-26,2023-06-07,500000,422100,EMP0676,Medium,Dubai
PRJ0233,ERP Consolidation Phase 2 #233,Sales,Completed,2024-10-09,2025-11-18,2000000,1689390,EMP0488,Low,Abu Dhabi
PRJ0234,Procurement Digitalisation Phase 3 #234,Sales,Completed,2025-01-09,2026-05-25,120000,136061,EMP0392,Medium,Sharjah
PRJ0235,Smart Building System Phase 3 #235,Sustainability,Completed,2022-11-23,2024-04-01,120000,142360,EMP0936,Medium,Dubai
PRJ0236,Internal Audit Digitisation #236,Sustainability,Completed,2024-11-30,2025-03-23,50000,37641,EMP0638,High,Abu Dhabi
PRJ0237,Predictive Maintenance - Q3 #237,Data Science,In Progress,2024-02-04,,2000000,2324313,EMP0605,High,Abu Dhabi
PRJ0238,Workflow Automation - Q3 #238,Procurement,Completed,2022-08-06,2023-01-28,1200000,832104,EMP0823,Critical,Abu Dhabi
PRJ0239,Smart City Infrastructure - Q1 #239,IT,On Hold,2023-11-10,,150000,49011,EMP0346,High,Dubai
PRJ0240,AI Forecasting Engine #240,Engineering,In Progress,2022-09-05,,200000,142285,EMP0925,High,Abu Dhabi
PRJ0241,Crisis Response System - Q1 #241,HR,Completed,2022-01-22,2023-03-15,350000,282065,EMP0421,Medium,Abu Dhabi
PRJ0242,API Gateway Modernisation #242,Sales,Completed,2022-03-06,2023-01-15,500000,405449,EMP0285,High,Sharjah
PRJ0243,Vendor Portal - Q1 #243,Procurement,Completed,2023-12-20,2025-02-02,1200000,1436139,EMP0428,Low,Dubai
PRJ0244,Internal Audit Digitisation Phase 3 #244,Sustainability,In Progress,2023-05-18,,80000,69824,EMP0888,Medium,Dubai
PRJ0245,Tax Automation Platform Phase 3 #245,Finance,Completed,2024-07-13,2024-12-30,800000,525577,EMP0815,Low,Sharjah
PRJ0246,IoT Sensor Network - Q1 #246,Data Science,Completed,2024-08-06,2025-02-22,800000,864627,EMP0625,High,Abu Dhabi
PRJ0247,API Gateway Modernisation - Q1 #247,IT,On Hold,,,150000,16791,EMP0705,Medium,Abu Dhabi
PRJ0248,Executive Dashboard Phase 2 #248,Digital,Completed,2022-01-12,2022-09-27,120000,127617,EMP0053,Medium,Abu Dhabi
PRJ0249,Resource Scheduling Tool Phase 2 #249,Procurement,Completed,2022-08-26,2022-12-15,120000,82022,EMP0877,Critical,Dubai
PRJ0250,Data Platform Modernisation - Q4 #250,HR,Completed,2024-05-30,2024-08-08,2000000,2277227,EMP0416,High,Abu Dhabi
PRJ0251,Tax Automation Platform Phase 3 #251,Legal,Completed,2024-05-14,2024-08-16,80000,52187,EMP0799,Medium,Abu Dhabi
PRJ0252,Digital Payments Integration #252,Engineering,In Progress,2023-01-18,,200000,173532,EMP0635,Medium,Abu Dhabi
PRJ0253,Customer Portal Redesign - Q2 #253,Data Science,Completed,2023-04-21,2023-10-01,120000,93624,EMP0884,High,Abu Dhabi
PRJ0254,Supply Chain Automation #254,Sustainability,Completed,2024-12-22,2025-02-24,350000,394880,EMP0148,Medium,Abu Dhabi
PRJ0255,Tax Automation Platform Phase 2 #255,Sales,Completed,2024-09-07,2025-02-23,80000,56276,EMP0641,High,Dubai
PRJ0256,Customer Portal Redesign Phase 2 #256,Sustainability,In Progress,2022-05-20,,1200000,1089636,EMP0083,High,Abu Dhabi
PRJ0257,Geo-spatial Intelligence Phase 3 #257,Operations,Not Started,,,200000,,EMP0052,Critical,Dubai
PRJ0258,Data Platform Modernisation Phase 3 #258,Legal,Completed,2023-04-06,2024-06-22,120000,106514,EMP0935,Medium,Abu Dhabi
PRJ0259,Geo-spatial Intelligence Phase 2 #259,Marketing,Completed,2024-10-15,2026-01-13,80000,68771,EMP0042,Medium,Dubai
PRJ0260,Sentiment Analysis Engine #260,HR,In Progress,2023-07-30,,1200000,1188120,EMP0391,Medium,Dubai
PRJ0261,Identity Management Upgrade - Q3 #261,Sustainability,Completed,2025-02-21,2026-08-07,120000,105791,EMP0101,High,Ras Al Khaimah
PRJ0262,Data Lake Implementation Phase 3 #262,Sales,In Progress,2023-07-10,,350000,334831,EMP0251,Medium,Sharjah
PRJ0263,Digital Payments Integration Phase 3 #263,Finance,In Progress,2023-11-18,,2000000,2011320,EMP0312,Medium,Abu Dhabi
PRJ0264,Energy Optimisation Platform Phase 2 #264,Procurement,In Progress,2024-01-11,,2000000,1863483,EMP0226,High,Dubai
PRJ0265,Employee Wellness App Phase 3 #265,Sales,In Progress,2023-11-22,,120000,135883,EMP0962,Medium,Abu Dhabi
PRJ0266,Tax Automation Platform - Q3 #266,Sustainability,In Progress,2023-06-06,,80000,60121,EMP0424,High,Ajman
PRJ0267,Smart City Infrastructure Phase 2 #267,Finance,On Hold,2024-07-17,,300000,76000,EMP0468,Medium,Abu Dhabi
PRJ0268,Performance Analytics #268,Digital,Completed,2023-10-04,2024-02-02,120000,85039,EMP0408,High,Ajman
PRJ0269,HR System Upgrade Phase 3 #269,Data Science,Completed,2023-07-04,2023-11-06,80000,92435,EMP0816,Medium,Abu Dhabi
PRJ0270,Energy Optimisation Platform #270,Data Science,In Progress,2023-07-22,,350000,300258,EMP0256,Medium,Dubai
PRJ0271,Geo-spatial Intelligence Phase 3 #271,Operations,In Progress,2025-02-07,,500000,528705,EMP0192,High,Dubai
PRJ0272,Fleet Management System Phase 2 #272,Data Science,Completed,2023-07-07,2024-10-23,1200000,809685,EMP0273,High,Abu Dhabi
PRJ0273,Citizen Services Portal Phase 2 #273,Operations,In Progress,2022-01-07,,200000,200539,EMP0494,High,Dubai
PRJ0274,Vendor Portal Phase 2 #274,Operations,In Progress,2022-06-17,,800000,821964,EMP0502,Medium,Sharjah
PRJ0275,Master Data Management #275,Sustainability,Completed,2023-02-25,2024-07-20,1200000,1034388,EMP0608,Medium,Abu Dhabi
PRJ0276,Real-time Analytics Engine - Q4 #276,Marketing,In Progress,2022-10-23,,80000,76845,EMP0828,High,Abu Dhabi
PRJ0277,Risk Assessment Framework Phase 2 #277,HR,Completed,2023-07-16,2024-01-19,350000,398675,EMP0428,High,Dubai
PRJ0278,Data Platform Modernisation #278,Digital,Completed,2022-02-14,2022-10-31,500000,407856,EMP0030,Medium,Dubai
PRJ0279,Performance Analytics - Q1 #279,Finance,In Progress,2023-07-06,,500000,573479,EMP0290,Medium,Abu Dhabi
PRJ0280,API Gateway Modernisation #280,Legal,Completed,2023-04-14,2023-07-29,120000,78651,EMP0827,High,Abu Dhabi
PRJ0281,Compliance Monitoring - Q3 #281,IT,In Progress,2024-06-11,,350000,392911,EMP0207,Medium,Abu Dhabi
PRJ0282,Compliance Monitoring Phase 2 #282,Data Science,Completed,2022-12-27,2023-07-22,2000000,1764298,EMP0474,Critical,Abu Dhabi
PRJ0283,Regulatory Compliance Tool #283,Data Science,In Progress,2023-01-02,,2000000,1348964,EMP0536,High,Abu Dhabi
PRJ0284,Employee Wellness App Phase 2 #284,Operations,Completed,2023-10-29,2025-03-09,120000,127177,EMP0596,High,Dubai
PRJ0285,Supply Chain Automation Phase 2 #285,IT,In Progress,2022-11-16,,120000,89418,EMP0719,High,Dubai
PRJ0286,Carbon Footprint Tracker Phase 2 #286,Digital,In Progress,2022-08-14,,200000,139450,EMP0718,High,Abu Dhabi
PRJ0287,Vendor Portal #287,Finance,Completed,2024-09-30,2025-11-10,800000,744151,EMP0853,Medium,Dubai
PRJ0288,Predictive Healthcare - Q3 #288,Finance,Completed,2024-04-14,2024-09-06,2000000,2229512,EMP0135,High,Abu Dhabi
PRJ0289,Disaster Recovery Setup Phase 3 #289,Data Science,Completed,2024-04-24,2025-01-04,800000,623768,EMP0038,Medium,Abu Dhabi
PRJ0290,Data Platform Modernisation - Q2 #290,Sales,Completed,2024-07-10,2025-11-24,120000,118733,EMP0345,Medium,Abu Dhabi
PRJ0291,Predictive Maintenance Phase 3 #291,Digital,Completed,2024-08-10,2025-04-17,200000,175595,EMP0464,Critical,Abu Dhabi
PRJ0292,Executive Dashboard Phase 3 #292,HR,In Progress,2024-08-10,,800000,905782,EMP0488,Low,Abu Dhabi
PRJ0293,Real-time Analytics Engine #293,Digital,In Progress,2023-11-10,,200000,157241,EMP0591,Medium,Ajman
PRJ0294,Executive Dashboard #294,Engineering,Completed,2024-12-03,2025-08-10,50000,43450,EMP0382,High,Dubai
PRJ0295,Master Data Management Phase 3 #295,HR,In Progress,2024-11-24,,80000,90409,EMP0896,Medium,Dubai
PRJ0296,HR System Upgrade Phase 2 #296,Legal,In Progress,2024-06-19,,350000,240229,EMP0909,Critical,Abu Dhabi
PRJ0297,Vendor Portal - Q3 #297,Operations,In Progress,2023-09-13,,50000,58606,EMP0215,Medium,Abu Dhabi
PRJ0298,Executive Dashboard Phase 3 #298,Operations,In Progress,2022-05-16,,120000,133836,EMP0294,High,Dubai
PRJ0299,Predictive Maintenance Phase 2 #299,Sales,Completed,2022-06-13,2023-07-20,1200000,1304416,EMP0392,High,Ras Al Khaimah
PRJ0300,Tax Automation Platform Phase 3 #300,Sales,Completed,2024-12-14,2025-05-02,2000000,2019121,EMP0951,High,Sharjah
PRJ0301,Predictive Maintenance - Q1 #301,Digital,In Progress,2024-11-08,,350000,314763,EMP0852,Critical,Abu Dhabi
PRJ0302,API Gateway Modernisation Phase 3 #302,Data Science,Not Started,,,100000,,EMP0277,Medium,Abu Dhabi
PRJ0303,AI Forecasting Engine - Q3 #303,Procurement,Completed,2023-11-10,2024-06-10,80000,59639,EMP0736,Medium,Sharjah
PRJ0304,Customer Portal Redesign #304,Legal,Completed,2024-06-04,2024-10-20,800000,707123,EMP0042,Medium,Abu Dhabi
PRJ0305,Customer Feedback Platform - Q2 #305,Digital,On Hold,2023-08-08,,600000,137419,EMP0259,Medium,Dubai
PRJ0306,Cloud Migration Phase 1 Phase 2 #306,Marketing,In Progress,2024-02-11,,80000,52831,EMP0092,High,Abu Dhabi
PRJ0307,Data Lake Implementation - Q4 #307,Data Science,On Hold,2024-12-15,,150000,59632,EMP0007,Medium,Abu Dhabi
PRJ0308,Legacy System Decommission Phase 3 #308,Sales,Completed,2022-03-24,2022-08-15,350000,279329,EMP0050,Critical,Abu Dhabi
PRJ0309,HR System Upgrade Phase 2 #309,IT,Not Started,,,200000,,EMP0119,Medium,Abu Dhabi
PRJ0310,Compliance Monitoring Phase 3 #310,IT,In Progress,2023-06-17,,120000,118329,EMP0830,Medium,Dubai
PRJ0311,Predictive Maintenance #311,Legal,Not Started,,,500000,,EMP0551,High,Abu Dhabi
PRJ0312,Real-time Analytics Engine Phase 3 #312,Sales,Completed,2024-04-01,2024-12-31,200000,215310,EMP0353,High,Abu Dhabi
PRJ0313,Citizen Services Portal Phase 2 #313,Engineering,In Progress,2022-08-30,,120000,79752,EMP0513,Low,Dubai
PRJ0314,Legacy System Decommission Phase 3 #314,Marketing,In Progress,2024-09-13,,800000,676742,EMP0768,High,Dubai
PRJ0315,Recommendation System Phase 2 #315,Digital,Completed,2024-01-16,2024-06-04,800000,571914,EMP0073,Low,Dubai
PRJ0316,Knowledge Management Portal Phase 2 #316,Digital,Completed,2024-03-25,2025-06-29,500000,434883,EMP0969,Medium,Ras Al Khaimah
PRJ0317,Performance Analytics Phase 2 #317,Engineering,Not Started,,,,,EMP0283,Medium,Dubai
PRJ0318,Mobile Workforce App #318,IT,In Progress,2024-10-11,,350000,400534,EMP0851,Medium,Abu Dhabi
PRJ0319,Smart City Infrastructure Phase 3 #319,Marketing,Completed,2022-01-06,2022-04-29,1200000,1275528,EMP0588,Medium,Abu Dhabi
PRJ0320,Resource Scheduling Tool - Q3 #320,Sustainability,On Hold,2024-09-18,,150000,34572,EMP0860,High,Dubai
PRJ0321,Recommendation System - Q3 #321,Engineering,In Progress,2022-02-06,,800000,762873,EMP0936,Low,Dubai
PRJ0322,Contract Lifecycle Management Phase 2 #322,HR,Not Started,,,,,EMP0294,Medium,Dubai
PRJ0323,HR System Upgrade Phase 3 #323,Legal,In Progress,2024-12-22,,200000,124865,EMP0977,Medium,Abu Dhabi
PRJ0324,Performance Analytics #324,Finance,Completed,2025-01-24,2025-10-24,50000,45052,EMP0861,High,Dubai
PRJ0325,Customer Feedback Platform - Q1 #325,Marketing,In Progress,2025-02-05,,350000,373731,EMP0259,Critical,Abu Dhabi
PRJ0326,Recommendation System Phase 2 #326,Sustainability,Completed,2022-01-30,2023-03-16,800000,518244,EMP0776,Medium,Dubai
PRJ0327,AI Forecasting Engine Phase 3 #327,IT,Completed,2023-06-11,2024-03-09,120000,137228,EMP0226,High,Abu Dhabi
PRJ0328,Geo-spatial Intelligence Phase 3 #328,Sustainability,Completed,2022-05-21,2022-08-28,120000,134871,EMP0007,Critical,Abu Dhabi
PRJ0329,IoT Sensor Network Phase 2 #329,Data Science,Completed,2023-11-23,2024-03-24,2000000,2119199,EMP0927,Medium,Dubai
PRJ0330,Tax Automation Platform #330,HR,Completed,2023-12-25,2024-05-23,800000,867168,EMP0635,Critical,Dubai
PRJ0331,Master Data Management #331,IT,In Progress,2022-11-25,,2000000,2178261,EMP0619,Medium,Ajman
PRJ0332,Geo-spatial Intelligence #332,HR,Not Started,,,200000,,EMP0117,High,Dubai
PRJ0333,Risk Assessment Framework Phase 2 #333,Operations,Completed,2024-09-17,2025-12-17,80000,94854,EMP0883,Medium,Dubai
PRJ0334,IoT Sensor Network - Q4 #334,Legal,In Progress,2024-01-26,,200000,227996,EMP0046,Medium,Abu Dhabi
PRJ0335,ERP Consolidation Phase 3 #335,Sales,In Progress,2022-01-16,,500000,558602,EMP0096,Low,Abu Dhabi
PRJ0336,Compliance Monitoring Phase 2 #336,Digital,Completed,2025-02-03,2026-04-10,500000,335925,EMP0965,Low,Dubai
PRJ0337,Identity Management Upgrade Phase 3 #337,Sustainability,Not Started,,,,,EMP0118,Low,Abu Dhabi
PRJ0338,Procurement Digitalisation - Q3 #338,IT,In Progress,2024-04-23,,80000,94806,EMP0409,Low,Abu Dhabi
PRJ0339,Customer Feedback Platform #339,Engineering,On Hold,2024-12-29,,,,EMP0148,Critical,Dubai
PRJ0340,AI Forecasting Engine #340,Data Science,On Hold,2023-11-22,,,,EMP0203,High,Dubai
PRJ0341,Internal Audit Digitisation #341,Finance,In Progress,2025-01-31,,2000000,2295567,EMP0089,High,Dubai
PRJ0342,Workflow Automation Phase 3 #342,Data Science,Not Started,,,100000,,EMP0358,Critical,Abu Dhabi
PRJ0343,Energy Optimisation Platform Phase 3 #343,Procurement,In Progress,2022-05-21,,80000,93551,EMP0686,Low,Sharjah
PRJ0344,HR System Upgrade Phase 3 #344,Legal,Completed,2023-06-26,2023-11-14,2000000,2274029,EMP0273,Low,Abu Dhabi
PRJ0345,Predictive Healthcare #345,Digital,In Progress,2022-09-17,,120000,125126,EMP0977,Critical,Dubai
PRJ0346,Contract Lifecycle Management Phase 3 #346,Marketing,Completed,2023-01-20,2023-11-28,2000000,1485494,EMP0486,Medium,Dubai
PRJ0347,Regulatory Compliance Tool Phase 3 #347,IT,Completed,2024-04-22,2025-09-30,350000,266565,EMP0728,Critical,Abu Dhabi
PRJ0348,Contract Lifecycle Management - Q3 #348,Engineering,On Hold,2023-07-15,,300000,92216,EMP0674,Medium,Dubai
PRJ0349,Network Security Overhaul Phase 2 #349,Procurement,In Progress,2023-05-27,,50000,51937,EMP0815,Medium,Ras Al Khaimah
PRJ0350,Carbon Footprint Tracker #350,Sales,In Progress,2022-08-15,,50000,42400,EMP0391,Medium,Abu Dhabi
PRJ0351,Recommendation System Phase 3 #351,HR,On Hold,2024-06-15,,300000,69907,EMP0224,Critical,Abu Dhabi
PRJ0352,Vendor Portal Phase 2 #352,Sales,Not Started,,,200000,,EMP0569,Critical,Abu Dhabi
PRJ0353,Knowledge Management Portal - Q1 #353,Digital,In Progress,2022-05-03,,1200000,1097483,EMP0226,Medium,Sharjah
PRJ0354,Executive Dashboard Phase 3 #354,IT,Completed,2022-01-29,2022-11-27,2000000,1278354,EMP0517,Medium,Dubai
PRJ0355,Crisis Response System Phase 3 #355,Digital,On Hold,,,600000,99701,EMP0143,Low,Abu Dhabi
PRJ0356,Document Management System Phase 2 #356,Sustainability,Completed,2022-10-24,2023-02-17,350000,361460,EMP0605,Medium,Abu Dhabi
PRJ0357,Energy Optimisation Platform - Q3 #357,Engineering,In Progress,2022-08-08,,200000,227853,EMP0284,High,Dubai
PRJ0358,Energy Optimisation Platform - Q2 #358,Sustainability,In Progress,2022-02-10,,500000,530547,EMP0919,High,Dubai
PRJ0359,Smart City Infrastructure Phase 2 #359,IT,In Progress,2023-09-20,,800000,600560,EMP0950,Medium,Abu Dhabi
PRJ0360,Risk Assessment Framework #360,Legal,Completed,2023-02-06,2024-07-05,200000,158965,EMP0387,Medium,Dubai
PRJ0361,Data Lake Implementation - Q3 #361,Operations,Completed,2025-02-25,2025-05-04,80000,52953,EMP0148,Medium,Sharjah
PRJ0362,Fleet Management System - Q4 #362,Sustainability,On Hold,,,600000,189317,EMP0248,High,Abu Dhabi
PRJ0363,AI Forecasting Engine Phase 3 #363,Engineering,On Hold,2023-10-15,,600000,220758,EMP0102,Medium,Abu Dhabi
PRJ0364,Network Security Overhaul Phase 3 #364,Marketing,Completed,2023-05-09,2023-07-30,1200000,1216077,EMP0632,Medium,Dubai
PRJ0365,Recommendation System - Q1 #365,Operations,Completed,2023-11-09,2024-02-28,80000,72177,EMP0252,Critical,Abu Dhabi
PRJ0366,Performance Analytics Phase 3 #366,Digital,Completed,2022-12-03,2023-02-14,80000,95073,EMP0661,Low,Abu Dhabi
PRJ0367,Employee Wellness App Phase 2 #367,Procurement,In Progress,2023-01-03,,200000,219273,EMP0220,Low,Dubai
PRJ0368,Energy Optimisation Platform Phase 2 #368,Marketing,In Progress,2022-08-30,,200000,163997,EMP0894,Critical,Abu Dhabi
PRJ0369,Resource Scheduling Tool Phase 2 #369,Procurement,In Progress,2022-11-22,,1200000,992222,EMP0192,Medium,Dubai
PRJ0370,Resource Scheduling Tool #370,Data Science,Completed,2023-03-10,2023-06-15,120000,101883,EMP0494,Medium,Dubai
PRJ0371,Carbon Footprint Tracker - Q3 #371,IT,Not Started,,,500000,,EMP0656,Medium,Abu Dhabi
PRJ0372,Employee Wellness App Phase 3 #372,HR,In Progress,2023-03-15,,50000,35888,EMP0333,Medium,Dubai
PRJ0373,Internal Audit Digitisation Phase 2 #373,Engineering,In Progress,2024-12-28,,80000,74883,EMP0444,Critical,Dubai
PRJ0374,Visual Analytics Suite #374,Sustainability,In Progress,2023-04-20,,120000,89314,EMP0060,Medium,Dubai
PRJ0375,Customer Portal Redesign #375,HR,Completed,2022-07-11,2023-01-19,350000,279735,EMP0147,High,Abu Dhabi
PRJ0376,Document Management System Phase 2 #376,Operations,Completed,2022-07-03,2023-05-24,120000,116988,EMP0079,Medium,Dubai
PRJ0377,Internal Audit Digitisation - Q3 #377,IT,Completed,2023-11-23,2024-02-06,50000,52964,EMP0927,Low,Dubai
PRJ0378,Data Platform Modernisation #378,HR,In Progress,2022-06-16,,80000,81021,EMP0563,Critical,Abu Dhabi
PRJ0379,Data Lake Implementation #379,Sales,Completed,2022-02-22,2023-04-26,120000,143165,EMP0360,Medium,Abu Dhabi
PRJ0380,Real-time Analytics Engine Phase 3 #380,Finance,In Progress,2025-01-22,,120000,115225,EMP0674,Medium,Abu Dhabi
PRJ0381,Compliance Monitoring Phase 2 #381,IT,Not Started,,,,,EMP0733,High,Abu Dhabi
PRJ0382,Tax Automation Platform - Q1 #382,Digital,In Progress,2022-04-11,,50000,49861,EMP0272,Medium,Dubai
PRJ0383,Internal Audit Digitisation Phase 3 #383,Sustainability,In Progress,2024-02-13,,80000,59318,EMP0169,High,Dubai
PRJ0384,Identity Management Upgrade #384,HR,In Progress,2022-12-15,,800000,830207,EMP0640,High,Dubai
PRJ0385,Supply Chain Automation Phase 2 #385,Operations,Completed,2025-02-17,2025-12-09,500000,535956,EMP0028,High,Dubai
PRJ0386,Compliance Monitoring Phase 2 #386,Data Science,In Progress,2022-04-07,,80000,89532,EMP0284,High,Abu Dhabi
PRJ0387,MLOps Platform Phase 3 #387,Sales,Completed,2022-12-30,2023-12-05,1200000,1078882,EMP0277,Medium,Abu Dhabi
PRJ0388,Geo-spatial Intelligence #388,Legal,In Progress,2022-11-14,,80000,54792,EMP0447,High,Abu Dhabi
PRJ0389,Cloud Migration Phase 1 - Q3 #389,Finance,In Progress,2023-05-13,,800000,843110,EMP0138,Medium,Dubai
PRJ0390,Compliance Monitoring Phase 2 #390,Data Science,In Progress,2023-05-31,,80000,70174,EMP0051,High,Abu Dhabi
PRJ0391,Smart Building System Phase 2 #391,HR,On Hold,2023-10-25,,,,EMP0207,Medium,Abu Dhabi
PRJ0392,Resource Scheduling Tool Phase 3 #392,Sustainability,Completed,2023-08-25,2024-01-30,50000,50059,EMP0545,Medium,Abu Dhabi
PRJ0393,Carbon Footprint Tracker #393,Operations,Completed,2024-01-25,2024-07-26,2000000,2036887,EMP0601,Medium,Ajman
PRJ0394,Mobile Workforce App - Q2 #394,Marketing,Not Started,,,,,EMP0817,Medium,Abu Dhabi
PRJ0395,Smart Building System Phase 3 #395,Operations,In Progress,2023-03-19,,200000,236367,EMP0980,Medium,Dubai
PRJ0396,Knowledge Management Portal #396,Legal,Completed,2022-10-17,2024-02-01,80000,52322,EMP0841,High,Dubai
PRJ0397,Recommendation System #397,Marketing,On Hold,,,,,EMP0748,High,Dubai
PRJ0398,Procurement Digitalisation Phase 3 #398,Operations,In Progress,2024-04-12,,50000,51700,EMP0092,Critical,Dubai
PRJ0399,Real-time Analytics Engine Phase 3 #399,Legal,In Progress,2024-10-22,,800000,853878,EMP0850,Critical,Sharjah
PRJ0400,Smart City Infrastructure Phase 2 #400,Engineering,On Hold,,,,,EMP0382,High,Abu Dhabi
PRJ0401,Procurement Digitalisation Phase 2 #401,Procurement,Completed,2024-08-25,2025-09-15,1200000,909998,EMP0320,High,Dubai
PRJ0402,Recommendation System #402,Marketing,Completed,2024-03-13,2024-11-16,500000,340177,EMP0065,Low,Dubai
PRJ0403,Network Security Overhaul #403,Sustainability,In Progress,2023-04-19,,800000,734346,EMP0392,High,Dubai
PRJ0404,Geo-spatial Intelligence Phase 2 #404,IT,Not Started,,,,,EMP0239,High,Dubai
PRJ0405,Customer Portal Redesign - Q2 #405,Finance,In Progress,2024-05-06,,80000,52426,EMP0046,High,Sharjah
PRJ0406,Legacy System Decommission - Q2 #406,Procurement,In Progress,2024-01-22,,50000,53340,EMP0387,Medium,Sharjah
PRJ0407,Performance Analytics #407,Sustainability,Completed,2022-08-27,2023-11-12,120000,102709,EMP0029,Critical,Sharjah
PRJ0408,Supply Chain Automation Phase 3 #408,Legal,Completed,2022-07-01,2023-10-22,50000,41588,EMP0815,Medium,Abu Dhabi
PRJ0409,Visual Analytics Suite #409,IT,Completed,2023-06-05,2024-11-05,500000,406738,EMP0974,Medium,Dubai
PRJ0410,Performance Analytics - Q1 #410,Sales,Not Started,,,500000,,EMP0768,Critical,Dubai
PRJ0411,Compliance Monitoring Phase 3 #411,Procurement,On Hold,,,300000,110672,EMP0008,High,Ajman
PRJ0412,IoT Sensor Network Phase 3 #412,Finance,In Progress,2025-01-31,,2000000,1363794,EMP0058,Medium,Dubai
PRJ0413,Master Data Management #413,Data Science,Completed,2024-07-13,2025-08-30,50000,48170,EMP0059,Medium,Ajman
PRJ0414,API Gateway Modernisation Phase 3 #414,Finance,Completed,2022-02-02,2023-04-03,1200000,1434163,EMP0679,High,Abu Dhabi
PRJ0415,Disaster Recovery Setup - Q4 #415,Sales,In Progress,2025-02-05,,1200000,784551,EMP0605,Medium,Dubai
PRJ0416,Asset Tracking System Phase 2 #416,IT,In Progress,2022-07-30,,350000,214467,EMP0588,Critical,Dubai
PRJ0417,Regulatory Compliance Tool Phase 2 #417,Data Science,In Progress,2023-04-02,,350000,373910,EMP0925,Critical,Abu Dhabi
PRJ0418,MLOps Platform - Q1 #418,Marketing,Completed,2025-02-16,2025-12-15,120000,100655,EMP0128,Medium,Abu Dhabi
PRJ0419,Data Platform Modernisation Phase 2 #419,Procurement,In Progress,2025-02-24,,200000,182399,EMP0247,Medium,Dubai
PRJ0420,Asset Tracking System Phase 2 #420,Sales,Not Started,,,200000,,EMP0985,Low,Abu Dhabi
PRJ0421,Contract Lifecycle Management Phase 2 #421,Procurement,Completed,2024-06-08,2025-01-28,50000,46477,EMP0931,Low,Dubai
PRJ0422,ERP Consolidation - Q2 #422,Sales,In Progress,2025-02-01,,800000,754998,EMP0393,Medium,Abu Dhabi
PRJ0423,Fleet Management System - Q1 #423,Legal,In Progress,2022-10-26,,200000,216867,EMP0360,High,Ajman
PRJ0424,Geo-spatial Intelligence Phase 3 #424,Operations,Completed,2024-03-27,2025-02-27,120000,89323,EMP0942,High,Dubai
PRJ0425,Carbon Footprint Tracker #425,IT,Completed,2023-04-04,2023-06-03,50000,50031,EMP0599,Medium,Abu Dhabi
PRJ0426,Vendor Portal #426,Data Science,Not Started,,,500000,,EMP0224,Low,Dubai
PRJ0427,Master Data Management #427,Engineering,On Hold,2023-02-27,,300000,37209,EMP0746,High,Sharjah
PRJ0428,Identity Management Upgrade - Q1 #428,Legal,Completed,2024-12-04,2025-05-13,1200000,1182292,EMP0742,Low,Dubai
PRJ0429,Predictive Maintenance Phase 3 #429,Engineering,Not Started,,,500000,,EMP0318,Medium,Abu Dhabi
PRJ0430,Crisis Response System - Q2 #430,Legal,Completed,2022-10-08,2023-06-01,50000,46663,EMP0102,High,Dubai
PRJ0431,Smart Building System - Q4 #431,Engineering,On Hold,2024-09-08,,,,EMP0916,High,Abu Dhabi
PRJ0432,Compliance Monitoring #432,Operations,In Progress,2024-07-18,,200000,130702,EMP0142,Critical,Abu Dhabi
PRJ0433,Sentiment Analysis Engine Phase 2 #433,HR,On Hold,2024-04-23,,,,EMP0538,Low,Dubai
